gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,HasInternet,is_DSL,is_Fiber_optic,MultipleLines_New,Contract_New,OnlineSecurity_New,OnlineBackup_New,DeviceProtection_New,TechSupport_New,StreamingTV_New,StreamingMovies_New,num_services,LTV_Estimate,AVG_Charge_Per_Service,Family_Flag
0,0,0,0,9,0,0,58.5,539.85,1,1,0,0,0,1,0,1,1,1,1,6,526.5,9.75,0
1,0,0,0,26,1,0,61.55,1581.95,1,1,0,2,1,1,1,0,0,0,0,3,1600.3,20.51,0
0,0,0,0,3,1,1,69.95,220.45,1,1,0,1,1,0,0,1,0,1,1,4,209.85000000000002,17.48,0
1,0,0,0,7,1,0,73.6,520.0,1,0,1,2,0,0,0,0,0,0,0,1,515.1999999999999,73.53,0
1,0,1,1,67,1,1,60.4,3953.7,1,1,0,1,2,1,0,1,1,0,0,4,4046.7999999999997,15.1,1
0,0,0,0,62,1,1,19.2,1123.65,0,0,0,1,2,0,0,0,0,0,0,0,1190.3999999999999,19200.0,0
1,0,0,0,27,1,0,59.45,1611.65,1,1,0,2,0,0,0,1,1,0,0,3,1605.15,19.81,0
1,0,1,1,40,1,0,19.6,808.95,0,0,0,1,2,0,0,0,0,0,0,0,784.0,19600.0,1
1,0,0,0,2,0,0,24.3,38.45,1,1,0,0,0,0,0,0,0,0,0,1,48.6,24.28,0
1,0,1,0,51,0,1,30.05,1529.45,1,1,0,0,0,0,1,0,0,0,0,2,1532.55,15.02,0
0,0,1,1,53,1,1,108.25,5935.1,1,0,1,1,0,0,1,1,1,1,1,6,5737.25,18.04,1
0,0,1,1,72,1,1,115.8,8476.5,1,0,1,2,2,1,1,1,1,1,1,7,8337.6,16.54,1
1,0,0,0,52,0,0,63.9,3334.95,1,1,0,0,2,1,1,1,1,1,1,7,3322.7999999999997,9.13,0
1,1,1,0,68,0,1,41.95,2965.75,1,1,0,0,2,1,1,1,0,0,0,4,2852.6000000000004,10.48,0
1,0,0,0,53,1,1,80.6,4348.1,1,0,1,1,0,0,1,0,1,0,0,3,4271.799999999999,26.86,0
0,0,0,0,41,1,1,19.85,810.45,0,0,0,1,2,0,0,0,0,0,0,0,813.85,19850.0,0
0,0,0,0,2,1,1,80.65,144.15,1,0,1,1,0,0,0,0,0,1,0,2,161.3,40.3,0
1,0,1,1,71,1,1,19.6,1387.45,0,0,0,1,2,0,0,0,0,0,0,0,1391.6000000000001,19600.0,1
0,0,0,0,9,1,1,19.5,178.85,0,0,0,1,0,0,0,0,0,0,0,0,175.5,19500.0,0
1,0,0,0,71,1,1,79.05,5552.5,1,0,1,2,1,0,1,0,0,0,0,2,5612.55,39.51,0
0,0,0,0,1,1,0,69.55,69.55,1,0,1,1,0,0,0,0,0,0,0,1,69.55,69.48,0
0,0,1,0,54,1,0,20.05,1102.4,0,0,0,1,2,0,0,0,0,0,0,0,1082.7,20050.0,0
0,0,0,0,65,1,1,84.85,5459.2,1,1,0,1,2,1,1,1,1,1,1,7,5515.25,12.12,0
0,0,1,1,9,1,0,19.75,210.65,0,0,0,1,2,0,0,0,0,0,0,0,177.75,19750.0,1
0,0,0,0,25,1,1,78.35,1837.9,1,1,0,2,0,1,1,1,1,1,0,6,1958.7499999999998,13.06,0
0,1,0,0,72,1,1,108.1,7774.05,1,0,1,2,2,0,1,1,1,1,1,6,7783.2,18.01,0
0,0,1,0,65,1,1,100.15,6643.5,1,0,1,2,1,1,1,0,1,1,0,5,6509.75,20.03,0
1,0,0,0,2,1,0,46.05,80.35,1,1,0,1,0,0,0,0,0,0,0,1,92.1,46.0,0
0,0,1,1,24,0,0,57.6,1367.75,1,1,0,0,1,1,1,1,0,1,1,6,1382.4,9.6,1
0,0,0,0,2,1,0,18.75,53.15,0,0,0,1,0,0,0,0,0,0,0,0,37.5,18750.0,0
0,0,1,1,52,1,0,19.35,1031.7,0,0,0,1,2,0,0,0,0,0,0,0,1006.2,19350.0,1
0,0,0,0,22,1,1,59.05,1253.5,1,1,0,2,0,1,0,0,1,0,0,3,1299.1,19.68,0
1,0,1,1,23,1,1,20.0,445.3,0,0,0,1,1,0,0,0,0,0,0,0,460.0,20000.0,1
1,1,1,1,22,0,0,40.05,880.2,1,1,0,0,0,1,0,0,0,0,1,3,881.0999999999999,13.35,1
0,0,0,0,38,1,1,24.25,914.4,0,0,0,2,1,0,0,0,0,0,0,0,921.5,24250.0,0
0,0,1,0,59,1,1,107.0,6152.3,1,0,1,2,1,1,1,1,1,0,1,6,6313.0,17.83,0
0,0,0,0,28,0,1,29.75,790.7,1,1,0,0,0,0,0,1,0,0,0,2,833.0,14.87,0
0,0,0,1,2,1,0,51.55,106.2,1,1,0,1,0,0,1,0,0,0,0,2,103.1,25.76,0
0,0,0,0,1,1,1,45.4,45.4,1,1,0,1,0,0,0,0,0,0,0,1,45.4,45.35,0
1,0,1,1,28,1,0,106.1,2847.4,1,0,1,2,1,1,1,0,0,1,1,5,2970.7999999999997,21.22,1
1,0,1,0,70,1,0,72.95,5265.55,1,1,0,2,2,0,1,1,1,1,0,5,5106.5,14.59,0
0,0,0,0,4,1,0,50.7,151.3,1,1,0,1,0,0,1,0,0,0,0,2,202.8,25.34,0
0,1,0,0,38,1,1,57.15,2250.65,1,1,0,1,0,1,1,0,0,0,0,3,2171.7,19.04,0
0,0,0,0,53,1,1,100.3,5200.8,1,0,1,1,1,0,1,1,0,1,1,5,5315.9,20.06,0
1,0,1,1,6,1,1,83.55,477.55,1,0,1,1,0,0,1,0,0,0,1,3,501.29999999999995,27.84,1
1,0,0,0,3,1,1,82.3,214.4,1,0,1,1,0,1,0,0,1,0,0,3,246.89999999999998,27.42,0
0,0,1,0,40,1,0,19.1,780.1,0,0,0,1,2,0,0,0,0,0,0,0,764.0,19100.0,0
1,0,1,1,72,1,1,84.5,6130.85,1,0,1,2,2,0,0,0,0,0,1,2,6084.0,42.23,1
1,0,0,1,60,1,1,84.95,4984.85,1,1,0,2,2,1,0,1,1,1,1,6,5097.0,14.16,0
0,0,1,1,62,1,0,54.75,3425.35,1,1,0,1,1,1,0,1,0,0,0,3,3394.5,18.24,1
0,0,0,0,1,1,1,70.6,70.6,1,0,1,1,0,0,0,0,0,0,0,1,70.6,70.53,0
0,1,1,0,71,1,1,96.35,6766.95,1,0,1,2,2,1,1,1,1,0,0,5,6840.849999999999,19.27,0
1,0,0,0,27,1,0,55.45,1477.65,1,1,0,1,1,1,1,0,0,0,0,3,1497.15,18.48,0
0,0,1,1,9,1,1,65.6,593.3,1,1,0,1,1,0,1,0,1,1,0,4,590.4,16.4,1
1,0,1,0,67,1,0,25.6,1784.9,0,0,0,2,2,0,0,0,0,0,0,0,1715.2,25600.0,0
0,0,0,0,61,1,0,19.45,1336.35,0,0,0,1,1,0,0,0,0,0,0,0,1186.45,19450.0,0
1,0,0,0,1,1,0,49.0,49.0,1,1,0,1,0,0,0,0,1,0,0,2,49.0,24.49,0
0,0,0,0,28,1,0,54.65,1517.5,1,1,0,1,0,0,1,0,1,0,0,3,1530.2,18.21,0
0,0,0,0,32,1,0,74.75,2282.95,1,1,0,2,1,1,0,0,0,1,1,4,2392.0,18.68,0
0,0,1,0,68,1,0,70.9,4911.35,1,1,0,2,2,1,1,1,1,0,0,5,4821.200000000001,14.18,0
0,0,0,1,19,1,1,75.9,1375.6,1,1,0,2,0,1,1,0,1,1,0,5,1442.1000000000001,15.18,0
1,0,0,0,10,1,1,89.5,863.1,1,0,1,1,0,0,0,0,0,1,1,3,895.0,29.82,0
1,0,0,0,32,1,0,87.65,2766.4,1,0,1,2,0,1,0,0,1,0,0,3,2804.8,29.21,0
0,0,0,0,3,1,1,95.1,307.4,1,0,1,1,0,0,1,0,0,1,1,4,285.29999999999995,23.77,0
0,0,1,1,50,1,1,84.4,4116.15,1,0,1,2,0,0,0,0,0,1,0,2,4220.0,42.18,1
1,1,0,0,9,1,1,100.5,918.6,1,0,1,2,0,0,0,1,0,1,1,4,904.5,25.12,0
1,0,1,1,55,1,1,55.25,3119.9,1,1,0,1,2,0,0,1,1,0,0,3,3038.75,18.41,1
1,0,1,1,72,1,0,19.4,1363.25,0,0,0,1,2,0,0,0,0,0,0,0,1396.8,19400.0,1
0,0,0,0,1,1,0,19.65,19.65,0,0,0,1,0,0,0,0,0,0,0,0,19.65,19650.0,0
0,0,0,0,48,1,0,24.0,1183.05,0,0,0,2,2,0,0,0,0,0,0,0,1152.0,24000.0,0
0,0,0,0,8,1,1,80.1,679.3,1,0,1,1,0,0,0,0,0,1,0,2,640.8,40.03,0
1,1,1,0,4,1,1,74.4,306.6,1,0,1,2,0,0,0,0,0,0,0,1,297.6,74.33,0
0,1,0,0,47,1,1,85.2,3969.35,1,0,1,2,0,0,1,1,0,0,0,3,4004.4,28.39,0
1,1,0,0,2,1,1,72.6,154.3,1,0,1,2,0,0,0,0,0,0,0,1,145.2,72.53,0
0,0,0,1,1,1,0,24.0,24.0,0,0,0,2,0,0,0,0,0,0,0,0,24.0,24000.0,0
1,0,0,0,24,1,1,96.0,2122.45,1,0,1,1,0,0,0,0,1,1,1,4,2304.0,23.99,0
1,0,1,1,66,0,0,54.65,3632.0,1,1,0,0,2,0,0,1,1,1,1,5,3606.9,10.93,1
1,0,0,1,63,0,1,40.6,2588.95,1,1,0,0,1,1,1,0,1,0,0,4,2557.8,10.15,0
0,0,0,0,1,1,0,69.7,69.7,1,0,1,1,0,0,0,0,0,0,0,1,69.7,69.63,0
0,0,0,0,1,1,1,70.25,70.25,1,0,1,1,0,0,0,0,0,0,0,1,70.25,70.18,0
0,0,0,0,67,1,1,25.6,1790.35,0,0,0,2,2,0,0,0,0,0,0,0,1715.2,25600.0,0
0,0,1,1,70,1,0,19.8,1378.75,0,0,0,1,2,0,0,0,0,0,0,0,1386.0,19800.0,1
1,0,0,1,32,1,0,20.5,696.8,0,0,0,1,2,0,0,0,0,0,0,0,656.0,20500.0,0
1,0,1,1,67,1,0,89.55,6038.55,1,0,1,2,1,1,1,0,1,0,0,4,5999.849999999999,22.38,1
1,0,1,0,30,1,0,19.05,637.55,0,0,0,1,2,0,0,0,0,0,0,0,571.5,19050.0,0
0,0,1,0,1,1,1,53.55,53.55,1,1,0,1,0,1,1,0,0,0,0,3,53.55,17.84,0
1,0,1,0,11,1,1,20.55,184.95,0,0,0,1,1,0,0,0,0,0,0,0,226.05,20550.0,0
1,0,0,0,57,1,1,54.65,3134.7,1,1,0,1,1,0,1,0,1,0,0,3,3115.0499999999997,18.21,0
0,0,1,1,72,1,1,70.45,5165.7,1,1,0,2,2,1,1,1,1,0,0,5,5072.400000000001,14.09,1
1,1,1,0,72,1,1,104.15,7689.95,1,0,1,2,2,0,1,1,0,1,1,5,7498.8,20.83,0
1,0,1,1,68,1,0,70.8,4859.95,1,1,0,2,2,0,1,0,1,0,1,4,4814.4,17.7,1
1,1,0,0,57,1,0,93.75,5625.55,1,0,1,2,2,1,0,0,1,0,1,4,5343.75,23.43,0
0,0,1,0,51,1,0,69.15,3649.6,1,0,1,1,0,0,0,0,0,0,0,1,3526.65,69.08,0
1,0,0,0,3,1,1,80.35,253.8,1,0,1,1,0,0,0,0,0,0,1,2,241.04999999999998,40.15,0
